pfam_id,pfam_aka
PF07035,Regulator of MON1-CCZ1 complex, C-terminal
PF00887,Acyl CoA binding protein
PF17825,Family of unknown function (DUF5587)
PF01282,Ribosomal protein S24e
PF18217,Zap1 zinc finger 2
PF00134,Cyclin, N-terminal domain
PF01731,Arylesterase
PF07478,D-ala D-ala ligase C-terminus
PF03452,Anp1
PF00125,Core histone H2A/H2B/H3/H4
PF03859,CG-1 domain
PF17827,PrmC N-terminal domain
PF18567,Toll/interleukin-1 receptor domain
PF18585,Chromatin remodeling factor Mit1 C-terminal Zn finger 2
PF04389,Peptidase family M28
PF09696,Ctf8
PF00237,Ribosomal protein L22p/L17e
PF06588,Muskelin N-terminus
PF01654,Cytochrome bd terminal oxidase subunit I
PF06206,CpeT/CpcT family (DUF1001)
PF18391,CHIP N-terminal tetratricopeptide repeat domain
PF18020,TIG domain found in plexin
PF16801,Dimerisation domain of Male-specific-Lethal 1
PF07833,Copper amine oxidase N-terminal domain
PF02259,FAT domain
PF07109,Magnesium-protoporphyrin IX methyltransferase C-terminus
PF03800,Nuf2 family
PF00794,PI3-kinase family, ras-binding domain
PF05195,Aminopeptidase P, N-terminal domain
PF01406,tRNA synthetases class I (C) catalytic domain
PF10355,Protein YTP1-like, C-terminal
PF19440,Tetratricopeptide repeat protein 7 N-terminal
PF08515,Transforming growth factor beta type I GS-motif
PF03455,dDENN domain
PF08504,Runx inhibition domain
PF08718,Glycolipid transfer protein (GLTP)
PF10580,Gap junction protein N-terminal region
PF05715,Piccolo Zn-finger
PF10512,Cell division cycle-associated protein 8
PF00986,DNA gyrase B subunit, carboxyl terminus
PF05633,Protein ROH1-like
PF04468,PSP1 C-terminal conserved region
PF02192,PI3-kinase family, p85-binding domain
PF04118,Dopey, N-terminal
PF08243,SPT2 chromatin protein
PF06632,DNA double-strand break repair and V(D)J recombination protein XRCC4
PF18368,Exo-beta-D-glucosaminidase Ig-fold domain
PF06827,Zinc finger found in FPG and IleRS
PF00812,Ephrin
PF07555,beta-N-acetylglucosaminidase
PF09121,Tower
PF00218,Indole-3-glycerol phosphate synthase
PF07744,SPOC domain
PF00419,Fimbrial protein
PF00456,Transketolase, thiamine diphosphate binding domain
PF15232,Domain of unknown function (DUF4585)
PF17408,Malonyl-CoA decarboxylase N-terminal domain
PF12589,Methyltransferase involved in Williams-Beuren syndrome
PF09585,Conserved hypothetical protein (Lin0512_fam)
PF01149,Formamidopyrimidine-DNA glycosylase N-terminal domain
PF08210,APOBEC-like N-terminal domain
PF12026,Crk-Associated Substrate C-terminal domain
PF06840,Programmed cell death protein 10, C-terminal
PF07904,Chromatin modification-related protein EAF7
PF18913,Fructose-1-6-bisphosphatase, C-terminal domain
PF15218,Spermatogenesis-associated protein 25
PF16491,CAAX prenyl protease N-terminal, five membrane helices
PF01765,Ribosome recycling factor
PF00101,Ribulose bisphosphate carboxylase, small chain
PF13865,C-terminal duplication domain of Friend of PRMT1
PF06244,Coiled-coil domain-containing protein 124 /Oxs1
PF08326,Acetyl-CoA carboxylase, central region
PF17734,Spermatogenesis-associated protein 46
PF13023,HD domain
PF16034,JAKMIP CC3 domain
PF10156,Subunit 17 of Mediator complex
PF03461,TRCF domain
PF18336,Fragile X messenger ribonucleoprotein 1, Tudor domain
PF14752,Retinol binding protein receptor
PF00420,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF08496,Peptidase family S49 N-terminal
PF13481,AAA domain
PF13971,Meiosis-specific protein Mei4
PF05951,Bacterial protein of unknown function (DUF882)
PF03165,MH1 domain
PF05131,Pep3/Vps18/deep orange beta-propeller domain
PF00455,DeoR C terminal sensor domain
PF16575,mRNA cleavage and polyadenylation factor CLP1 P-loop
PF00078,Reverse transcriptase (RNA-dependent DNA polymerase)
PF00377,Prion/Doppel alpha-helical domain
PF11404,Potassium voltage-gated channel
PF02190,ATP-dependent protease La (LON) substrate-binding domain
PF09759,Spinocerebellar ataxia type 10 protein domain
PF02740,Colipase, C-terminal domain
PF05466,Brain acid soluble protein 1 (BASP1 protein)
PF10495,Pericentrin-AKAP-450 domain of centrosomal targeting protein
PF16696,Zinc finger FYVE domain-containing protein 21 C-terminus
PF15675,CLLAC-motif containing domain
PF01297,Zinc-uptake complex component A periplasmic
PF16726,Inositol polyphosphate 5-phosphatase clathrin binding domain
PF18117,Enhanced disease susceptibility 1 protein EP domain
PF00103,Somatotropin hormone family
PF01037,Lrp/AsnC ligand binding domain
PF13725,Possible tRNA binding domain
PF07541,Eukaryotic translation initiation factor 2 alpha subunit
PF02812,Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF18523,Sld3 N-terminal domain
PF18334,Exoribonuclease Xrn1 D2/D3 domain
PF12214,Cell cycle regulated microtubule associated protein
PF00512,His Kinase A (phospho-acceptor) domain
PF05386,TEP1 N-terminal domain
PF11409,Smad anchor for receptor activation (SARA)
PF18323,Cop9 signalosome subunit 5 C-terminal domain
PF02883,Adaptin C-terminal domain
PF12235,Fragile X-related 1 protein core C terminal
PF09734,RNA polymerase III transcription factor (TF)IIIC subunit HTH domain
PF13911,AhpC/TSA antioxidant enzyme
PF13373,DSC E3 ubiquitin ligase complex subunit 3, C-terminal domain
PF00097,Zinc finger, C3HC4 type (RING finger)
PF11569,Homeodomain leucine-zipper encoding, Homez
PF11615,CCR4-associated factor 4
PF14613,Protein of unknown function (DUF4449)
PF15029,Transmembrane protein 174
PF18552,PheRS DNA binding domain 1
PF14633,SH2 domain
PF01471,Putative peptidoglycan binding domain
PF01799,[2Fe-2S] binding domain
PF13537,Glutamine amidotransferase domain
PF00876,Innexin
PF04181,Rtr1/RPAP2 family
PF20469,Overcoming lysogenization defect protein-like, TOPRIM domain
PF02743,Cache domain
PF16618,Linker region between SH3 and WW domains on ARHGAP12
PF09496,Cenp-O kinetochore centromere component
PF07238,PilZ domain
PF00645,Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
PF08448,PAS fold
PF06679,Protein of unknown function (DUF1180)
PF04710,Pellino, FHA domain
PF15304,A-kinase anchor protein 2 C-terminus
PF03754,B3 domain-containing protein At2g31720-like
PF01465,GRIP domain
PF05956,APC basic domain
PF06645,Microsomal signal peptidase 12 kDa subunit (SPC12)
PF03328,HpcH/HpaI aldolase/citrate lyase family
PF03126,Plus-3 domain
PF16519,Tetramerisation domain of TRPM
PF01900,Rpp14/Pop5 family
PF02665,Nitrate reductase gamma subunit
PF16944,Fungal potassium channel
PF09419,Mitochondrial PGP phosphatase
PF17098,WTAP/Mum2p family
PF02704,Gibberellin regulated protein
PF13350,Tyrosine phosphatase family
PF12247,Temperature dependent protein affecting M2 dsRNA replication
PF00883,Cytosol aminopeptidase family, catalytic domain
PF00167,Fibroblast growth factor
PF08487,Vault protein inter-alpha-trypsin domain
PF07786,Heparan-alpha-glucosaminide N-acetyltransferase, catalytic
PF11626,TRF2-interacting telomeric protein/Rap1 - C terminal domain
PF05365,Ubiquinol-cytochrome C reductase, UQCRX/QCR9 like
PF03144,Elongation factor Tu domain 2
PF00547,Urease, gamma subunit
PF04221,RelB antitoxin
PF04712,Radial spokehead-like protein
PF05907,CXXC motif containing zinc binding protein, eukaryotic
PF05600,CDK5 regulatory subunit-associated protein 3
PF04757,Pex2 / Pex12 amino terminal region
PF07326,Regulator of chromosome segregation 1
PF03702,Anhydro-N-acetylmuramic acid kinase
PF00236,Glycoprotein hormone
PF13657,HipA N-terminal domain
PF13518,Helix-turn-helix domain
PF01258,Prokaryotic dksA/traR C4-type zinc finger
PF06624,Ribosome associated membrane protein RAMP4
PF02197,Regulatory subunit of type II PKA R-subunit
PF04056,Ssl1-like
PF04922,DIE2/ALG10 family
PF15024,Glycosyltransferase family 18
PF02321,Outer membrane efflux protein
PF05741,Nanos RNA binding domain
PF01874,ATP:dephospho-CoA triphosphoribosyl transferase
PF00532,Periplasmic binding proteins and sugar binding domain of LacI family
PF05064,Nsp1-like C-terminal region
PF19432,DNAJ protein RME-8 N-terminal
PF10251,Presenilin enhancer-2 subunit of gamma secretase
PF05631,Sugar-tranasporters, 12 TM
PF16629,Armadillo-associated region on APC
PF19305,MmgE/PrpD C-terminal domain
PF13240,zinc-ribbon domain
PF00385,Chromo (CHRromatin Organisation MOdifier) domain
PF09113,Peptide-N-glycosidase F, C terminal
PF10200,NADH:ubiquinone oxidoreductase, NDUFS5-15kDa
PF03354,Terminase large subunit, ATPase domain
PF19276,HD associated region
PF01287,Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold
PF13677,Membrane MotB of proton-channel complex MotA/MotB
PF03137,Organic Anion Transporter Polypeptide (OATP) family
PF02269,Transcription initiation factor IID, 18kD subunit
PF03896,Translocon-associated protein (TRAP), alpha subunit
PF03705,CheR methyltransferase, all-alpha domain
PF15013,CCSMST1 family
PF14655,Rab3 GTPase-activating protein regulatory subunit N-terminus
PF00707,Translation initiation factor IF-3, C-terminal domain
PF11027,Protein of unknown function (DUF2615)
PF08324,PUL domain
PF06487,Sin3 associated polypeptide p18 (SAP18)
PF16021,Programmed cell death protein 7
PF08579,Mitochondrial ribonuclease P subunit (RPM2)
PF03412,Peptidase C39 family
PF16746,BAR domain of APPL family
PF01053,Cys/Met metabolism PLP-dependent enzyme
PF12237,Phosphorylated CTD interacting factor 1 WW domain
PF15695,Rec (regulator of expression encoded by corf) of HERV-K-113
PF10458,Valyl tRNA synthetase tRNA binding arm
PF02774,Semialdehyde dehydrogenase, dimerisation domain
PF18399,Clip-domain serine protease homolog Scarface
PF01501,Glycosyl transferase family 8
PF04851,Type III restriction enzyme, res subunit
PF13181,Tetratricopeptide repeat
PF03979,Sigma-70 factor, region 1.1
PF11538,Snurportin1
PF14558,ML-like domain
PF16017,BTB/POZ domain
PF00730,HhH-GPD superfamily base excision DNA repair protein
PF01142,tRNA pseudouridine synthase D (TruD)
PF04546,Sigma-70, non-essential region
PF07452,CHRD domain
PF09666,Sororin protein
PF16495,SWIRM-associated region 1
PF14160,Centrosome-associated C terminus
PF06140,Interferon-induced 6-16 family
PF12177,Prohormone convertase enzyme
PF07653,Variant SH3 domain
PF18114,Suv3 helical N-terminal domain
PF08020,Protein of unknown function (DUF1706)
PF01333,Apocytochrome F, C-terminal
PF12824,Mitochondrial ribosomal protein subunit L20
PF18048,TNF receptor-associated factor 6 zinc finger 2
PF04442,Cytochrome c oxidase assembly protein CtaG/Cox11
PF00742,Homoserine dehydrogenase
PF12842,CCR4-Not complex, Not1 subunit, domain of unknown function DUF3819
PF19568,Sporulation stage III, protein AA
PF00368,Hydroxymethylglutaryl-coenzyme A reductase
PF01215,Cytochrome c oxidase subunit Vb
PF09192,Actin-fragmin kinase, catalytic
PF03825,Nucleoside H+ symporter
PF13098,Thioredoxin-like domain
PF04849,HAP1 N-terminal conserved region
PF13394,404
PF19274,PI4-kinase N-terminal region
PF03999,Microtubule associated protein (MAP65/ASE1 family)
PF05669,SOH1
PF05392,Cytochrome C oxidase chain VIIB
PF00275,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF11763,Cell-wall adhesin ligand-binding C-terminal
PF03488,Nematode insulin-related peptide beta type
PF18738,DZIP3/ hRUL138-like HEPN
PF01302,CAP-Gly domain
PF12895,Anaphase-promoting complex, cyclosome, subunit 3
PF09801,Integral membrane protein S linking to the trans Golgi network
PF16984,Group 7 allergen
PF00448,SRP54-type protein, GTPase domain
PF02728,Copper amine oxidase, N3 domain
PF08506,Cse1
PF02390,Putative methyltransferase
PF20210,Laa1/Sip1/HEATR5 HEAT repeat region
PF13266,Protein of unknown function (DUF4057)
PF01102,Glycophorin A
PF04571,lipin, N-terminal conserved region
PF01965,DJ-1/PfpI family
PF13839,GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p
PF10472,eIF2-alpha phosphatase phosphorylation constitutive repressor
PF08311,Mad3/BUB1 homology region 1
PF09784,Mitochondrial ribosomal protein L31
PF00017,SH2 domain
PF10487,Nucleoporin Nup188, N-terminal
PF04538,Brain expressed X-linked like family
PF01728,FtsJ-like methyltransferase
PF02369,Bacterial Ig-like domain (group 1)
PF12927,Domain of unknown function (DUF3835)
PF01490,Transmembrane amino acid transporter protein
PF15348,Gemini of Cajal bodies-associated protein 8
PF04962,KduI/IolB family
PF01119,DNA mismatch repair protein, C-terminal domain
PF11721,Malectin domain
PF16503,Zinc-ribbon
PF10494,Serine-threonine protein kinase 19
PF00212,Atrial natriuretic peptide
PF08746,RING-like domain
PF12424,Plasma membrane calcium transporter ATPase C terminal
PF05044,Homeo-prospero domain
PF14912,Testicular haploid expressed repeat
PF11719,DNA replication and checkpoint protein
PF13299,Cleavage and polyadenylation factor 2 C-terminal
PF16692,Folliculin C-terminal domain
PF05039,Agouti protein
PF00361,Proton-conducting membrane transporter
PF03962,Mnd1 HTH domain
PF05336,L-rhamnose mutarotase
PF01347,Lipoprotein amino terminal region
PF00481,Protein phosphatase 2C
PF03256,Anaphase-promoting complex, subunit 10 (APC10)
PF09066,Beta2-adaptin appendage, C-terminal sub-domain
PF01194,RNA polymerases N / 8 kDa subunit
PF15275,PEHE domain
PF06629,MltA-interacting protein MipA
PF00069,Protein kinase domain
PF00503,G-protein alpha subunit
PF08232,Striatin family
PF15200,Keratinocyte differentiation-associated
PF20267,GREB1 C-terminal region
PF12316,Segment polarity protein dishevelled (Dsh) C terminal
PF16059,MGA, conserved domain
PF05930,Prophage CP4-57 regulatory protein (AlpA)
PF18611,IL-3 receptor alpha chain N-terminal domain
PF01165,Ribosomal protein S21
PF12485,Lymphocyte signaling adaptor protein
PF05053,Menin
PF04669,PBDC1 protein
PF10528,GLEYA domain
PF14608,RNA-binding, Nab2-type zinc finger
PF10213,Mitochondrial ribosomal subunit protein
PF01368,DHH family
PF17215,S1 domain
PF16599,Unstructured linker region on PTN13 protein between PDZ
PF04093,rod shape-determining protein MreD
PF02746,Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
PF13884,Chaperone of endosialidase
PF03928,Haem degrading protein HbpS-like
PF18263,MCM6 C-terminal winged-helix domain
PF08292,RNA polymerase III subunit Rpc25
PF14812,Transmembrane domain of transglycosylase PBP1 at N-terminal
PF02201,SWIB/MDM2 domain
PF11549,Protein transport protein SEC31
PF00412,LIM domain
PF08079,Ribosomal L30 N-terminal domain
PF12191,Tumour necrosis factor receptor stn_TNFRSF12A_TNFR domain
PF03159,XRN 5'-3' exonuclease N-terminus
PF14880,Cytochrome oxidase c assembly
PF04212,MIT (microtubule interacting and transport) domain
PF12922,non-SMC mitotic condensation complex subunit 1, N-term
PF18210,Knl1 RWD C-terminal domain
PF17852,Dynein heavy chain AAA lid domain
PF01417,ENTH domain
PF17903,Krr1 KH1 domain
PF02363,Cysteine rich repeat
PF02238,Cytochrome c oxidase subunit VII
PF13632,Glycosyl transferase family group 2
PF14542,GCN5-related N-acetyl-transferase
PF20145,ARMET, N-terminal
PF08148,DSHCT (NUC185) domain
PF18373,Spectrin like domain
PF06749,Protein of unknown function (DUF1218)
PF00832,Ribosomal L39 protein
PF00797,N-acetyltransferase
PF14560,Ubiquitin-like domain
PF16547,Proteasome-substrate-size regulator, N-terminal
PF09027,GTPase binding
PF04488,Glycosyltransferase sugar-binding region containing DXD motif
PF13286,Phosphohydrolase-associated domain
PF15907,Integrin-alpha FG-GAP repeat-containing protein 2
PF01060,Transthyretin-like family
PF00684,DnaJ central domain
PF15689,Nuclear receptor-interacting protein 1 repression 3
PF04677,Protein similar to CwfJ C-terminus 1
PF14714,KH-domain-like of EngA bacterial GTPase enzymes, C-terminal
PF07780,Spb1 C-terminal domain
PF12012,Domain of unknown function (DUF3504)
PF04784,Protein of unknown function, DUF547
PF04811,Sec23/Sec24 trunk domain
PF10613,Ligated ion channel L-glutamate- and glycine-binding site
PF03829,PTS system glucitol/sorbitol-specific IIA component
PF08288,PIGA (GPI anchor biosynthesis)
PF17756,RET Cadherin like domain 1
PF14707,C-terminal region of aryl-sulfatase
PF08700,Vps51/EXO84/COG1 N-terminal
PF00011,Hsp20/alpha crystallin family
PF04041,beta-1,4-mannooligosaccharide phosphorylase
PF02367,Threonylcarbamoyl adenosine biosynthesis protein TsaE
PF07684,NOTCH protein
PF10182,Flo11 domain
PF03000,NPH3 family
PF16972,Na+ channel auxiliary subunit TipE
PF05160,DSS1/SEM1 family
PF16332,Domain of unknown function (DUF4962)
PF02514,CobN/Magnesium Chelatase
PF04732,Intermediate filament head (DNA binding) region
PF00830,Ribosomal L28 family
PF11523,Protein of unknown function (DUF3223)
PF16891,Serine-threonine protein phosphatase N-terminal domain
PF01683,EB module
PF10347,Fmp27/BLTP2/Hobbit, GFWDK motif-containg RBG unit
PF04110,Ubiquitin-like autophagy protein Apg12
PF04505,Interferon-induced transmembrane protein
PF19281,Phytanoyl-CoA hydroxylase-interacting protein C-terminus
PF05340,Protein of unknown function (DUF740)
PF13600,N-terminal domain of unknown function (DUF4140)
PF13661,2OG-Fe(II) oxygenase superfamily
PF09797,N-acetyltransferase B complex (NatB) non catalytic subunit
PF15439,Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter
PF08202,Mis12-Mtw1 protein family
PF01082,Copper type II ascorbate-dependent monooxygenase, N-terminal domain
PF16623,Unstructured linker region between on GAS7 protein
PF03199,Eukaryotic glutathione synthase
PF02781,Glucose-6-phosphate dehydrogenase, C-terminal domain
PF15387,Domain of unknown function (DUF4611)
PF12734,Cysteine-rich TM module stress tolerance
PF07738,Sad1 / UNC-like C-terminal
PF03022,Major royal jelly protein
PF11835,RRM-like domain
PF07443,HepA-related protein (HARP)
PF13521,AAA domain
PF02291,Transcription initiation factor IID, 31kD subunit
PF12542,Pre-mRNA splicing factor
PF13558,SbcC/RAD50-like, Walker B motif
PF00640,Phosphotyrosine interaction domain (PTB/PID)
PF10501,Ribosomal subunit 39S
PF11594,Mediator complex subunit 28
PF01844,HNH endonuclease
PF08752,Coatomer gamma subunit appendage platform subdomain
PF12753,Nuclear pore complex subunit Nro1
PF13185,GAF domain
PF03839,Translocation protein Sec62
PF08302,Fungal tRNA ligase phosphodiesterase domain
PF06607,Prokineticin
PF08639,DNA replication regulator SLD3
PF19259,Ty3 transposon capsid-like protein
PF00341,PDGF/VEGF domain
PF15822,MAPK-interacting and spindle-stabilising protein-like
PF06682,SOCE-associated regulatory factor of calcium homoeostasis
PF00866,Ring hydroxylating beta subunit
PF13599,Pentapeptide repeats (9 copies)
PF05970,PIF1-like helicase
PF07571,TAF6 C-terminal HEAT repeat domain
PF14222,Cell morphogenesis N-terminal
PF19729,F-box/LRR-repeat protein 18, LRR
PF08073,CHDNT (NUC034) domain
PF00484,Carbonic anhydrase
PF08544,GHMP kinases C terminal
PF11277,Mediator complex subunit 24 N-terminal
PF15187,Oesophageal cancer-related gene 4
PF01778,Ribosomal L28e protein family
PF14761,Hermansky-Pudlak syndrome 3 protein, N-terminal
PF17105,C-terminal domain of bromodomain protein 4
PF17039,Fucosyltransferase, N-terminal
PF18005,eIF3 subunit M, C-terminal helix
PF00885,6,7-dimethyl-8-ribityllumazine synthase
PF02344,Myc leucine zipper domain
PF14815,NUDIX domain
PF03631,Virulence factor BrkB
PF12764,Glycine-rich region of argonaut
PF00591,Glycosyl transferase family, a/b domain
PF08585,RMI1, N-terminal OB-fold domain
PF05833,NFACT N-terminal and middle domains
PF09170,CST, complex subunit STN1, C terminal
PF06884,Protein of unknown function (DUF1264)
PF07258,COMM domain
PF10396,GTP-binding protein TrmE N-terminus
PF05089,Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain
PF00578,AhpC/TSA family
PF05760,Immediate early response protein (IER)
PF15015,Spermatogenesis-associated, N-terminal
PF09757,Arb2 domain
PF01137,RNA 3'-terminal phosphate cyclase
PF16905,Voltage-dependent L-type calcium channel, IQ-associated
PF18362,Tri-helix bundle domain
PF06050,2-hydroxyglutaryl-CoA dehydratase, D-component
PF00649,Copper fist DNA binding domain
PF08621,RPAP1-like, N-terminal
PF19343,Family of unknown function (DUF5923)
PF17854,FtsK alpha domain
PF03605,Anaerobic c4-dicarboxylate membrane transporter
PF13323,N-terminal domain with HPIH motif
PF02165,Wilm's tumour protein
PF04588,Hypoxia induced protein conserved region
PF11303,Protein of unknown function (DUF3105)
PF18115,DNA repair protein Crb2 Tudor domain
PF05924,SAMP Motif
PF03106,WRKY DNA -binding domain
PF09416,RNA helicase (UPF2 interacting domain)
PF16041,E3 ubiquitin-protein ligase APD1-4, middle domain
PF00425,chorismate binding enzyme
PF02946,GTF2I-like repeat
PF01043,SecA preprotein cross-linking domain
PF00414,Neuraxin and MAP1B repeat
PF15133,TLR adaptor interacting with SLC15A4 on the lysosome
PF16613,Unstructured region of RGS12
PF11465,Natural killer cell receptor 2B4
PF03960,ArsC family
PF04354,ZipA, C-terminal FtsZ-binding domain
PF02817,e3 binding domain
PF01399,PCI domain
PF06799,Conserved in the green lineage and diatoms 27
PF02320,Ubiquinol-cytochrome C reductase hinge protein
PF00510,Cytochrome c oxidase subunit III
PF07543,Protein trafficking PGA2
PF00253,Ribosomal protein S14p/S29e
PF13230,Glutamine amidotransferases class-II
PF04077,DsrH like protein
PF15322,Protein missing in infertile sperm 1, putative
PF01274,Malate synthase, TIM barrel domain
PF03772,Competence protein
PF10203,Cytochrome c oxidase assembly protein PET191
PF06708,Protein of unknown function (DUF1195)
PF03835,Rad4 transglutaminase-like domain
PF14887,HMG (high mobility group) box 5
PF06546,Vertebrate heat shock transcription factor
PF07985,SRR1 domain
PF00072,Response regulator receiver domain
PF18461,Atypical caspase recruitment domain
PF12067,Sox 17/18 central domain
PF04841,Vps16, N-terminal region
PF14260,C4-type zinc-finger of DNA polymerase delta
PF13538,UvrD-like helicase C-terminal domain
PF06212,GRIM-19 protein
PF12767,Transcriptional regulator of RNA polII, SAGA, subunit
PF00464,Serine hydroxymethyltransferase
PF09078,CheY binding
PF04324,BFD-like [2Fe-2S] binding domain
PF03652,Holliday junction resolvase
PF11421,ATP synthase F1 beta subunit
PF08563,P53 transactivation motif
PF14829,Glycerol-3-phosphate acyltransferase N-terminal
PF03344,Daxx N-terminal Rassf1C-interacting domain
PF16644,Regulatory region of Na+/H+ exchanger NHE binds to calmodulin
PF17888,Carmil pleckstrin homology domain
PF05873,ATP synthase D chain, mitochondrial (ATP5H)
PF16639,Apocytochrome F, N-terminal
PF01392,Fz domain
PF07662,Na+ dependent nucleoside transporter C-terminus
PF07347,NADH:ubiquinone oxidoreductase subunit B14.5a (Complex I-B14.5a)
PF17619,Secreted clade V proteins
PF18051,26S proteasome non-ATPase regulatory subunit RPN1 C-terminal
PF09767,Predicted membrane protein (DUF2053)
PF01172,Shwachman-Bodian-Diamond syndrome (SBDS) protein
PF00157,Pou domain - N-terminal to homeobox domain
PF00156,Phosphoribosyl transferase domain
PF20427,Nuclear speckle splicing regulatory protein 1, RS-like domain
PF19193,Tectonin domain
PF01365,RIH domain
PF08675,RNA binding domain
PF02183,Homeobox associated leucine zipper
PF05057,Putative serine esterase (DUF676)
PF00294,pfkB family carbohydrate kinase
PF12489,Nuclear coactivator
PF10224,Short coiled-coil protein
PF00836,Stathmin family
PF15819,Fin bud initiation factor homologue
PF03856,Beta-glucosidase (SUN family)
PF01235,Sodium:alanine symporter family
PF09359,VTC domain
PF09289,Follistatin/Osteonectin-like EGF domain
PF08334,Type II secretion system (T2SS), protein G
PF13840,ACT domain
PF16737,PHD finger protein 12 MRG binding domain
PF18148,Regulator of G-protein signalling DHEX domain
PF08149,BING4CT (NUC141) domain
PF14805,Tetrahydrodipicolinate N-succinyltransferase N-terminal
PF11398,Protein of unknown function (DUF2813)
PF10407,Cdc14 phosphatase binding protein N-terminus
PF16748,Inscuteable LGN-binding domain
PF14814,Bifunctional transglycosylase second domain
PF05231,MASE1
PF01504,Phosphatidylinositol-4-phosphate 5-Kinase
PF05517,p25-alpha
PF02037,SAP domain
PF00268,Ribonucleotide reductase, small chain
PF11882,Domain of unknown function (DUF3402)
PF01190,Pollen protein Ole e 1 like
PF01715,IPP transferase
PF15687,Nuclear receptor-interacting protein 1 repression 1
PF15996,Arginine/serine-rich protein PNISR
PF01127,Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF00048,Small cytokines (intecrine/chemokine), interleukin-8 like
PF03466,LysR substrate binding domain
PF00856,SET domain
PF00026,Eukaryotic aspartyl protease
PF16209,Phospholipid-translocating ATPase N-terminal
PF01214,Casein kinase II regulatory subunit
PF05835,Synaphin protein
PF01047,MarR family
PF01091,PTN/MK heparin-binding protein family, C-terminal domain
PF20166,ATG4, F-type LIR motif
PF11918,N-terminal domain of Peptidase_S41 in eukaryotic IRBP
PF00168,C2 domain
PF12854,PPR repeat
PF10246,Mitochondrial ribosomal protein MRP-S35
PF16719,SAWADEE domain
PF02114,Phosducin
PF13656,RNA polymerase Rpb3/Rpb11 dimerisation domain
PF01035,6-O-methylguanine DNA methyltransferase, DNA binding domain
PF04810,Sec23/Sec24 zinc finger
PF03715,Noc2p family
PF11616,WD repeat binding protein EZH2
PF12246,Temperature dependent protein affecting M2 dsRNA replication
PF14993,Neuropeptide S precursor protein
PF03091,CutA1 divalent ion tolerance protein
PF04765,TOD1/MUCI70, glycosyltransferase-like domain
PF03403,Platelet-activating factor acetylhydrolase, isoform II
PF02805,Metal binding domain of Ada
PF02101,Ocular albinism type 1 protein
PF17958,EF-hand domain
PF10218,SREBP regulating gene protein
PF06384,Beta-catenin-interacting protein ICAT
PF01531,Glycosyl transferase family 11
PF06422,CDR ABC transporter
PF12473,Kinesin protein
PF00090,Thrombospondin type 1 domain
PF08562,Crisp
PF12743,Oestrogen-type nuclear receptor final C-terminal
PF16501,S phase cyclin A-associated protein in the endoplasmic reticulum
